Data,Categoria,Subcategoria
14/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
14/12/2024,TENTATIVA DE FURTO,TENTATIVA DE FURTO
14/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
14/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
14/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
14/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
14/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
14/12/2024,VIAS DE FATO,VIAS DE FATO
14/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
14/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
14/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
14/12/2024,COMUNICAÇÃO DE CRIME AMBIENTAL,COMUNICAÇÃO DE CRIME AMBIENTAL
14/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
15/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
14/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
15/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
15/12/2024,TENTATIVA DE FURTO,TENTATIVA DE FURTO
15/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
15/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
15/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
15/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
15/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
15/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
15/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
15/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
15/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
15/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
15/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
15/12/2024,APOIO A OUTROS ÓRGÃOS/VIOLÊNCIA DOMÉSTICA,APOIO A OUTROS ÓRGÃOS/VIOLÊNCIA DOMÉSTICA
15/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
15/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
15/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
15/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
15/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
15/12/2024,POLICIAMENTO OSTENSIVO EM EVENTOS SÓCIO-CULTURAIS,POLICIAMENTO OSTENSIVO EM EVENTOS SÓCIO-CULTURAIS
15/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
15/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
15/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
15/12/2024,PERTURBAÇÃO DA TRANQUILIDADE,PERTURBAÇÃO DA TRANQUILIDADE
15/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
15/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
15/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
15/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
15/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
16/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
16/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
16/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
16/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
16/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
16/12/2024,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO
16/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
16/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
16/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
16/12/2024,VIAS DE FATO,VIAS DE FATO
16/12/2024,TENTATIVA DE ESTELIONATO,TENTATIVA DE ESTELIONATO
16/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
16/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
16/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
16/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
16/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
16/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
16/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
16/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
16/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
16/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA/PATRULHAMENTO PREVENTIVO,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA/PATRULHAMENTO PREVENTIVO
16/12/2024,PERTURBAÇÃO DA TRANQUILIDADE,PERTURBAÇÃO DA TRANQUILIDADE
17/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
17/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
17/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
17/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
17/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
17/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
17/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
17/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
17/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
17/12/2024,AMEAÇA,AMEAÇA
17/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
17/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
17/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
17/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
17/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
17/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
17/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
17/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
17/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
17/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
17/12/2024,APOIO OU REFORÇO,APOIO OU REFORÇO
18/12/2024,DENÚNCIA/INFRAÇÃO DE TRÂNSITO,DENÚNCIA/INFRAÇÃO DE TRÂNSITO
18/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
17/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
18/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
18/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
18/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
18/12/2024,TENTATIVA DE VIOLAÇÃO DE DOMICÍLIO,TENTATIVA DE VIOLAÇÃO DE DOMICÍLIO
18/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
18/12/2024,AMEAÇA,AMEAÇA
18/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
18/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
18/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
18/12/2024,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO
18/12/2024,DANO,DANO
18/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
18/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
18/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
18/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
18/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
18/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
18/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
18/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
18/12/2024,APOIO OU REFORÇO/PATRULHAMENTO PREVENTIVO,APOIO OU REFORÇO/PATRULHAMENTO PREVENTIVO
18/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
18/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
18/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
18/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
18/12/2024,ATO OBSCENO,ATO OBSCENO
18/12/2024,DANO,DANO
18/12/2024,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO
18/12/2024,ATO OBSCENO,ATO OBSCENO
18/12/2024,AVERIGUAÇÃO DE DISPARO DE ALARME/AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO,AVERIGUAÇÃO DE DISPARO DE ALARME/AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO
18/12/2024,COMUNICAÇÃO DE CRIME AMBIENTAL,COMUNICAÇÃO DE CRIME AMBIENTAL
18/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
18/12/2024,RELATOS DA VITIMA VIOLÊNCIA DOMESTICA,RELATOS DA VITIMA VIOLÊNCIA DOMESTICA
18/12/2024,PERTURBAÇÃO DA TRANQUILIDADE,PERTURBAÇÃO DA TRANQUILIDADE
18/12/2024,PERTURBAÇÃO DA TRANQUILIDADE,PERTURBAÇÃO DA TRANQUILIDADE
18/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
18/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
18/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
18/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
18/12/2024,DESCUMPRIMENTO DE ORDEM JUDICIAL/MEDIDA PROTETIVA,DESCUMPRIMENTO DE ORDEM JUDICIAL/MEDIDA PROTETIVA
18/12/2024,PERTURBAÇÃO DA TRANQUILIDADE,PERTURBAÇÃO DA TRANQUILIDADE
18/12/2024,PERTURBAÇÃO DA TRANQUILIDADE,PERTURBAÇÃO DA TRANQUILIDADE
18/12/2024,PERTURBAÇÃO DA TRANQUILIDADE,PERTURBAÇÃO DA TRANQUILIDADE
18/12/2024,PERTURBAÇÃO DA TRANQUILIDADE,PERTURBAÇÃO DA TRANQUILIDADE
18/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
19/12/2024,APOIO OU REFORÇO,APOIO OU REFORÇO
19/12/2024,FURTO,FURTO
19/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
19/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
19/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
19/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
19/12/2024,APOIO OU REFORÇO,APOIO OU REFORÇO
19/12/2024,AMEAÇA,AMEAÇA
19/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
19/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
19/12/2024,AMEAÇA,AMEAÇA
19/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
19/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
19/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
19/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
19/12/2024,COMUNICAÇÃO DE INVASÃO,COMUNICAÇÃO DE INVASÃO
19/12/2024,PATRULHAMENTO PREVENTIVO/MARIA DA PENHA/VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,PATRULHAMENTO PREVENTIVO/MARIA DA PENHA/VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
19/12/2024,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO
19/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
19/12/2024,PERTURBAÇÃO DA TRANQUILIDADE,PERTURBAÇÃO DA TRANQUILIDADE
19/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
19/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
20/12/2024,DEPREDAÇÃO,DEPREDAÇÃO
19/12/2024,ABORDAGEM A VEÍCULO,ABORDAGEM A VEÍCULO
20/12/2024,PERTURBAÇÃO DA TRANQUILIDADE,PERTURBAÇÃO DA TRANQUILIDADE
20/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
20/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
20/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
20/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
20/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
20/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
20/12/2024,ACIDENTE DE TRÂNSITO SEM VÍTIMA,ACIDENTE DE TRÂNSITO SEM VÍTIMA
20/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
20/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
20/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
20/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
20/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
20/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
20/12/2024,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO
20/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
20/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
20/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
20/12/2024,ABANDONAR PESSOA COM DEFICIÊNCIA EM HOSPITAIS/ OU NÃO PROVER SUAS NECESSIDADES BÁSICAS/ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABANDONAR PESSOA COM DEFICIÊNCIA EM HOSPITAIS/ OU NÃO PROVER SUAS NECESSIDADES BÁSICAS/ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
20/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
20/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
20/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
20/12/2024,ARROMBAMENTO,ARROMBAMENTO
20/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
20/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
21/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
20/12/2024,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO
20/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
20/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
21/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
21/12/2024,PERTURBAÇÃO DA TRANQUILIDADE,PERTURBAÇÃO DA TRANQUILIDADE
21/12/2024,PERTURBAÇÃO DA TRANQUILIDADE,PERTURBAÇÃO DA TRANQUILIDADE
21/12/2024,TENTATIVA DE FURTO,TENTATIVA DE FURTO
21/12/2024,APOIO OU REFORÇO,APOIO OU REFORÇO
21/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA/PATRULHAMENTO PREVENTIVO,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA/PATRULHAMENTO PREVENTIVO
21/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
21/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
21/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
21/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
21/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
21/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
21/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
21/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
21/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
21/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
21/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
21/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
21/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
21/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
21/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
21/12/2024,ABORDAGEM A VEÍCULO,ABORDAGEM A VEÍCULO
21/12/2024,VIOLÊNCIA DOMÉSTICA,VIOLÊNCIA DOMÉSTICA
21/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
21/12/2024,BUSCA DE PERTENCE VIOLÊNCIA DOMÉSTICA,BUSCA DE PERTENCE VIOLÊNCIA DOMÉSTICA
21/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
21/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
21/12/2024,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO,AVERIGUAÇÃO EM CHAMADA PARA ATENDIMENTO
21/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
21/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
22/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
21/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
21/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
21/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
21/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
21/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
21/12/2024,EMBRIAGUEZ,EMBRIAGUEZ
22/12/2024,PERTURBAÇÃO DA TRANQUILIDADE,PERTURBAÇÃO DA TRANQUILIDADE
22/12/2024,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA,ABORDAGEM A PESSOAS EM ATITUDE SUSPEITA
21/12/2024,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO,PERTURBAÇÃO DO TRABALHO OU DO SOSSEGO ALHEIO
22/12/2024,ORDEM DE POLICIAMENTO,ORDEM DE POLICIAMENTO
22/12/2024,ABORDAGEM A VEÍCULO,ABORDAGEM A VEÍCULO
22/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
22/12/2024,APOIO OU REFORÇO,APOIO OU REFORÇO
22/12/2024,PATRULHAMENTO PREVENTIVO,PATRULHAMENTO PREVENTIVO
22/12/2024,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA,VIOLÊNCIA DOMÉSTICA CONTRA A MULHER/MARIA DA PENHA
22/12/2024,APOIO A OUTROS ÓRGÃOS,APOIO A OUTROS ÓRGÃOS
